acc_id,mechanical,op_error,employee
916240,,,
916512,,,
917151,,,
917854,,,
918264,,,
919364,,TRUE,
919699,,,
919784,,,
916181,,,
919767,,,
920025,,,
913907,,,
913911,,,
916171,,,
916173,,,
916511,,,
917138,,,
913908,,,
913967,,,
913991,,,
916510,,,
916987,,,
920018,,,
913966,,,
916174,,TRUE,
916508,,,
916509,,,
917015,,,
919382,,TRUE,
913965,,,
916142,,,
916160,,,
916182,,,
917136,,,
917137,,,
919829,,,
916143,,,
916505,,,
916506,,,
916507,,,
917135,,,
920017,,,
913909,,,
913963,,,
913964,,,
913999,,,
916141,,,
916144,,,
916192,,,
916728,,,
916729,,,
916730,,TRUE,
916815,,TRUE,
920019,,,
920046,,,
913878,,,
913961,,,
913962,,,
916159,,,
916504,,,
917133,,,
917134,,,
918432,,,
913960,,,
916151,,,
916157,,,
916167,,,
916191,,,
916502,,,
916503,,,
916739,TRUE,,
917132,,,
919807,,,
913870,,,
913959,,,
916146,TRUE,,
916147,,,
916150,,,
916152,,,
916773,,,
916986,,,
913883,,,
913957,,,
913958,,,
916148,,,
916501,,,
916817,,,
916984,,,
916985,,,
919361,,,
920293,,,
916499,,,
916500,,,
917131,,,
919381,TRUE,,
913956,,,
913994,,,
916498,,,
916983,,,
913954,,,
913955,,,
913990,,,
916154,,,
916156,,,
916497,,,
916769,,,
916774,,,
916851,,,
916982,,TRUE,
919380,TRUE,,
920016,,,
916153,,,
916496,,,
916980,,,
916981,,,
913951,,,
913953,,,
916138,,,
916140,TRUE,,
916155,,,
916158,,,
916494,,,
916495,,,
917169,TRUE,,
920004,,,
912598,TRUE,,
913950,,,
916139,TRUE,,
916493,,,
916816,,,
920068,,,
913904,,,
916126,,,
916161,,,
917170,,,
916979,,,
917129,,,
917130,,,
919698,,,
919974,,,
920051,,,
916125,,,
916128,,,
916136,,,
916137,,,
916492,,,
917128,,,
919973,,,
916127,,,
916130,,,
916490,,,
916491,,,
919759,,,
919772,,,
916120,,,
916121,,,
916132,,,
916133,,,
916489,,,
916818,,,
916978,,,
917046,,,
919360,,,
919830,,,
916129,,,
916131,,,
916134,,,
916135,,,
916163,,,
916487,,,
916488,,,
917127,,,
917159,TRUE,,
920012,,,
913889,,,
913948,,,
916162,,,
916485,,,
916486,,,
916850,,,
913946,,,
913947,,,
916107,,,
916819,TRUE,,
916977,,,
913945,,,
916113,,,
916114,,,
916482,,,
916483,,,
916484,,,
917126,,,
919359,,,
913882,,,
916110,,,
916480,,,
916481,,,
919769,,,
919806,,,
912469,,TRUE,
913880,,,
916117,,,
916149,,,
916849,,,
916976,,,
917045,,,
917171,TRUE,,
918717,,,
919363,,,
919379,,TRUE,
