city_id,city_name,state_id
1751,Brockton,5061
1697,Daytona,5314
1495,Shullsburg,5869
1199,Lodi,5927
1768,Lakewood,5869
1437,Paterson,5927
1624,Del Mar,5090
1597,Hollard,5162
1756,St. Clair,5162
1441,Springville,5954
1901,Mocksville,5528
1311,Cape Coral,5314
1500,New Buffalo,5162
1188,Ionia,5162
1605,Andover,5061
1202,Lansing,5162
1007,River Rouge,5162
1301,Sturgis,5162
1115,Hamilton,5927
1718,Yonkers,5927
1815,Agawam,5061
1205,Thousand Oaks,5090
1886,Taylor,5162
1847,Howell,5162
1476,Pigeon Forge,5039
1819,Tracy,5090
1142,Pompano,5314
1904,University Center,5162
1496,Dade City,5314
1159,Sebring,5314
1780,Paintsville,5293
1122,ARLINGTON,5115
1034,Salinas,5090
1702,Kalamazoo,5162
1434,Warren,5162
1438,Lakeland,5314
1722,HOUSTON,5115
1407,Homosassa,5314
1415,LOS ANGELES,5090
1221,Prescott Valley,5409
1709,Glastonbury,5131
1246,Ocean View,5927
1518,Rio Vista,5090
1440,Pt. Pleasant,5927
1423,SAN ANTONIO,5115
1958,NEW BRAUNFELS,5115
1132,Lewiston,5954
1865,Fairmont,5403
1854,Sterling Heights,5162
1435,Newberry,5162
1638,Seaside Park,5927
1200,Beach Haven,5927
1334,Woodland,5090
1082,Lewisburg,5403
1271,Sandusky,5693
1664,Midland,5162
1793,Latham,5693
1864,Darien Center,5954
1402,Byram Twp.,5927
1591,Mason,5162
1306,Brooklyn,5162
1269,ANTHONY,5115
1823,MESQUITE,5115
1524,EL PASO,5115
1426,Pitanea,5162
1855,Buffalo,5954
1923,Reedsville,5403
1995,Danville,5946
1992,Wesland,5162
1248,Hopkinton,5585
1726,Middlebury,5131
1909,West Haven,5131
1399,Scottsburg,5946
1868,Costa Mesa,5090
1458,Blissfield,5162
1771,New Orleans,5979
1484,Nanuet,5954
1879,Madison,5403
1586,Ripley,5403
1460,AMARILLO,5115
1468,Aurora,5693
1939,East Rutherford,5927
1875,CEDAR HILLS,5115
1503,Long Beach Island,5927
1057,Hollister,5090
1417,Smithville,5927
1378,West Springfield,5061
1611,Kissammee,5314
1704,Eagle Rock,5090
1450,SPRING,5115
1439,Panama City Beach,5314
1084,Santa Claus,5946
1408,Indianapolis,5946
1896,Greenwood,5954
1224,Mount Clemens,5162
1703,DALLAS,5115
1745,Mangum,5069
1943,Trumbull,5131
1728,Lehigh Acres,5314
1687,MISSION,5115
1056,Plant City,5314
1396,West Nyack,5954
1755,Lake Grove,5954
1521,Melbourne,5314
1197,Royal Palm,5314
1512,Deerfield Beach,5314
1892,Mary Ester,5314
1256,Raleigh,5528
1471,Topsfield,5061
1105,Ottumwa,5885
1594,Red Bluff,5090
1647,LUBBOCK,5115
1187,Bethlehem,5131
1044,Norwalk,5090
1727,Wheatfield,5954
1491,Windsor,5090
1546,Matewan,5403
1563,Hurricane,5403
1216,Turnersville,5927
1803,Bell,5403
1749,SOUTH PADRE ISLAND,5115
1567,Turlock,5090
1118,Terre Haute,5946
1014,Selden,5954
1278,Rockville,5946
1558,Greensburg,5946
1954,Modesto,5090
1602,Wilmington,5061
1182,Monticello,5954
1149,Worcester,5061
1251,Manorville,5954
1249,La Habra,5090
1706,Primm,5030
1622,CARROLLTON,5115
1694,San Antonio,5115
1750,N Palm Beach,5314
1454,Houston South,5115
1614,N. Houston,5115
1006,Boca Raton,5314
1944,Kings Island,5693
1266,West Palm Bch.,5314
1008,Southington,5131
1317,OKC,5069
1015,Baltimore,5834
1980,Dryden,5954
1026,Simi Valley,5090
1447,Hillsboro,5693
1010,Ada,5069
1078,Geddes,5954
1126,EauClaire,5869
1171,Fulton,5954
1293,Ocean City,5834
1120,East Dundee,5417
1303,Point Pleasant Beach,5927
1192,Stillwater,5069
1554,Raytown,5927
1416,Warrensburg,5954
1649,Bell Gardens,5090
1452,Antelope Valley,5090
1951,Chicago,5417
1898,Medford,5954
1062,Westhampton,5954
1277,Lubbock,5115
1469,Plattsburgh,5954
1870,Fairfield,5417
1579,Hebron,5834
1189,Prince Frederick,5834
1114,Waterloo,5869
1918,Danbury,5131
1024,Lodi,5090
1505,Lake George,5954
1069,Bristol,5131
1428,Dallas,5115
1549,Columbus,5693
1012,Glen Ellyn,5417
1845,Bethel,5131
1166,Woodland Hills,5090
1345,Hartford,5869
1465,Cherryville,5528
1284,Labelle,5314
1792,Cypress Gardens,5314
1914,WPB,5314
1286,Irondequoit,5954
1328,Pt. Charlotte,5314
1265,Brandon,5314
1643,Oldsmar,5314
1809,Smithfield,5585
1962,Pomona,5090
1099,Laguna Hills,5090
1369,Monterey,5090
1367,Springfield,5417
1036,Fort Meade,5834
1181,Bronx,5927
1185,Datona Bch.,5314
1785,Largo,5834
1290,Orlando,5927
1152,Gantt,5927
1601,Frederick,5834
1242,Danbury,5927
1223,Daytona Bch.,5314
1258,Palatine,5417
1919,Panama City Bch.,5314
1121,Jacksonville,5927
1729,Silver Spirngs,5314
1538,Englishtown,5927
1523,Waco,5115
1195,Hermosa Beach,5090
1384,San Gabriel,5090
1133,Hammonton,5927
1788,KIssimmee,5314
1595,Daytona Bch,5314
1464,Las Vegas,5030
1796,Lake Buena Vista,5314
1018,Dania Bch.,5314
1316,Ft. Myers,5314
1445,Auburndale,5314
1562,Fords,5927
1389,Lincoln,5585
1797,Sea Isle City,5927
1194,Hamburg,5954
1169,Johnston,5585
1826,Douglassville,5927
1838,Wallkill,5954
1190,Mahopac,5954
1086,St. Pete,5314
1993,Tiverton,5585
1606,Spencerport,5954
1055,Orangeburg,5954
1830,Middleburg,5314
1177,Freeville,5954
1900,Ft. Walton,5314
1678,Eustis,5314
1531,Broward,5314
1621,Apalachecola,5314
1861,New Port Richey,5314
1001,Mendota,5090
1685,Niagra Falls,5954
1137,Bunnell,5314
1004,Milton,5314
1241,Spring Fling,5314
1691,Wilton Manor,5314
1226,Coral Springs,5314
1997,Albany,5954
1397,Port Richey,5314
1853,W. Senaca,5954
1463,Dania,5314
1338,Roslyn Heights,5954
1553,Unknown,5314
1891,Palm beach,5314
1124,Port St. Lucie,5314
1352,Queensbury,5954
1782,Sunrise,5314
1998,Palatka,5314
1239,Brevard,5314
1744,Tarpon Springs,5314
1963,Pinellas Park,5314
1354,Ft. Walton Bch.,5314
1068,Vero Beach,5314
1986,Ft. Pierce,5314
1353,Everglades City,5314
1337,Davie,5314
1240,Weston,5314
1639,Okeechobee,5314
1672,Ft. Laud.,5314
